"日期","时间","来源日志","玩家名","SteamUserId","IP","检测状态","事件类别","距离_米","原始原因"
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","1312433.4","Attempted to pickup object from a significant distance (1312433.4)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","1266325.2","Attempted to pickup object from a significant distance (1266325.2)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","1252323.6","Attempted to pickup object from a significant distance (1252323.6)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","1263553.1","Attempted to pickup object from a significant distance (1263553.1)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","572650.75","Attempted to pickup object from a significant distance (572650.75)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","573960.9","Attempted to pickup object from a significant distance (573960.9)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","506528.97","Attempted to pickup object from a significant distance (506528.97)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","459828.38","Attempted to pickup object from a significant distance (459828.38)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","496207.75","Attempted to pickup object from a significant distance (496207.75)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","449460.94","Attempted to pickup object from a significant distance (449460.94)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","289166.34","Attempted to pickup object from a significant distance (289166.34)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","608222.7","Attempted to pickup object from a significant distance (608222.7)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","429399.1","Attempted to pickup object from a significant distance (429399.1)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","488856.94","Attempted to pickup object from a significant distance (488856.94)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","572479.94","Attempted to pickup object from a significant distance (572479.94)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","308721.9","Attempted to pickup object from a significant distance (308721.9)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","476273.4","Attempted to pickup object from a significant distance (476273.4)."
"2026-08-05","23:03:02","05.08 23.01.33-cheats.log","Kp","steam_76561198820000975","116.112.97.230","*may be*","远程拾取","887302.7","Attempted to pickup object from a significant distance (887302.7)."
